folio_code	legacy_code
LAW-COOKBOOK	LAW COOKBOOK
LAW-STACKS1	LAW STACKS-1
LAW-NEWSPAPERS	LAW NEWSPAPERS
LAW-MANNING	LAW MANNING
LAW-BASEMENT	LAW BASEMENT
LAW-EYLESAISLE	LAW EYLESAISLE
LAW-ATCIRCDESK	LAW ATCIRCDESK
LAW-TECHSHADOW	LAW TECHSHADOW
LAW-STAFFSHADOW	LAW STAFSHADOW
LAW-SPECIALCOLLECTIONS	LAW LAW-ARCHIV
LAW-MEDIA	LAW MEDIA
LAW-MIGRATE-ERR	LAW *
LAW-NEUKOM	LAW FACULTY
LAW-SPECIALCOLLECTIONS	LAW LAW-SPECIALCOLLECTIONS
LAW-STAFFSHADOW	LAW LAW-STAFFSHADOW
MEDIA-ARTCAB	MEDIA-MTXT MM-ARTCAB
MEDIA-BUSCAB	MEDIA-MTXT MM-BUSCAB
MEDIA-CDCAB	MEDIA-MTXT MM-CDCAB
MEDIA-DIZOCAB	MEDIA-MTXT MM-DIZOCAB
MEDIA-MATHCAB	MEDIA-MTXT MM-MATHCAB
MEDIA-OVERSIZE	MEDIA-MTXT MM-OVERSIZ
MEDIA-PAGE-MM	MEDIA-MTXT PAGE-MM
MEDIA-STACKS	MEDIA-MTXT STACKS
MEDIA-CAGE	MEDIA-MTXT MM-STACKS
MEDIA-MIGRATE-ERR	MEDIA-MTXT *
MUS-REF	MUSIC REFERENCE
MUS-SCORES	MUSIC SCORES
MUS-PERMRES	MUSIC PERM-RES
MUS-RECORDINGS	MUSIC RECORDINGS
MUS-INSTRUCTOR	MUSIC INSTRUCTOR
MUS-FOLIO	MUSIC FOLIO
MUS-R-MINIATURE	MUSIC R-MINIATUR
MUS-STACKS	MUSIC STACKS
MUS-R-STACKS	MUSIC R-STACKS
MUS-FLAT	MUSIC FOLIO-FLAT
MUS-MIGRATE-ERR	MUSIC *
MUS-LOCKED	MUSIC MEMLIBMUS
MUS-MICROTEXT	MUSIC MICROTEXT
MUS-MINIATURE	MUSIC MINIATURE
MUS-R-FOLIO	MUSIC R-FOLIO
MUS-LOCKED	MUSIC LOCKED-STK
RUM-W7-BOX-SM	RUMSEYMAP W7-MAP-BXS
RUM-W7-POCKET-REG	RUMSEYMAP W7-POCK-RG
RUM-W7-ROLLED	RUMSEYMAP W7-ROLLED
RUM-W7-FOLIO	RUMSEYMAP W7-FOLIO
RUM-W7-CASE-MD	RUMSEYMAP W7-CASE-MD
RUM-W7-STK-LG	RUMSEYMAP W7-STK-LG
RUM-W7-POCKET-LG	RUMSEYMAP W7-POCK-LG
